Ma,Extinct_ml_rate,Orig_ml_rate,observed,synoptic,chao2,tripps,lognormal,max_extrapolated,do18,do18_sd,Faunal_Prop.Archaic,Communities$Mil_TimeBin.x,Fdiv_mean,Fric_mean,Feve_mean,Faunal_Fric,Faunal_Fdiv,Faunal_Feve,Epoch,Local_PropArchaic_Mean,Feve_se,Fric_se,Fdiv_se
1,NA,NA,481,512,659,512,707,707,4.450331183,0.434406449,0,1,0.841785059,0.170478215,0.741831216,0.420694145,0.860545918,0.585277727,Pleistocene,0,0.015302513,0.024213924,0.007477378
2,NA,NA,213,237,285,237,346,346,4.062140553,0.344291428,0,2,0.839973317,0.183656151,0.711984343,0.498158749,0.858322452,0.556830564,Pleistocene,0,0.014384663,0.018123214,0.005297394
3,0.14,0.05,199,226,297,226,327,327,3.76630786,0.360923128,0,3,0.846780729,0.150341251,0.703352758,NA,NA,NA,Pliocene,0,0.019760946,0.022752708,0.007806461
4,0,0.3,225,234,433,234,382,433,3.390488889,0.275758473,0,4,NA,NA,NA,0.619238992,0.866487917,0.546615741,Pliocene,0,0,0,0
5,0,0,117,201,224,218,448,448,3.243672055,0.171556474,0,5,NA,NA,NA,0.798316987,0.866148367,0.558888813,Pliocene,0,0,0,0
6,0.53,0,145,145,286,183,572,572,3.239266667,0.15084083,0,6,0.851935008,0.171121182,0.752730268,0.798317112,0.867026183,0.55330116,Miocene,0,0.054106109,0.039556524,0.029038455
7,0,0,101,168,170,168,303,303,3.208032787,0.117618178,0,7,NA,NA,NA,0.80320959,0.8686515,0.554905996,Miocene,0,0,0,0
8,0,0,132,186,236,186,282,282,3.118943983,0.153699111,0,8,0.885706697,0.131889281,0.66946686,0.698189681,0.871484597,0.553607023,Miocene,0,0.025347947,0.022245344,0.004323584
9,0,0.47,195,209,341,218,481,481,3.213226667,0.141416308,0,9,0.875938744,0.090399438,0.610863027,0.702251035,0.871245813,0.55673,Miocene,0,0.015576137,0.018030824,0.005756925
10,0,0,79,158,138,158,227,227,3.081529933,0.161630885,0,10,NA,NA,NA,0.702250194,0.865009826,0.558691527,Miocene,0,0,0,0
11,0,0,48,152,128,163,190,190,2.901098765,0.148690539,0,11,NA,NA,NA,0.670418283,0.859640381,0.561885695,Miocene,0,0,0,0
12,0.31,0,225,277,421,277,608,608,2.938783133,0.143354064,0,12,0.832769451,0.071771136,0.581765788,0.703678036,0.856741727,0.562954633,Miocene,0,0.018351059,0.023868534,0.013886934
13,0,0,132,186,209,186,240,240,2.900007752,0.129691133,0,13,0.85220506,0.308139694,0.630279664,0.816883785,0.866112681,0.548930607,Miocene,0,0.061481125,0.093879144,0.01723944
14,0,0,194,223,419,223,382,419,2.601683333,0.288137592,0,14,NA,NA,NA,0.69190062,0.853890724,0.562867296,Miocene,0,0,0,0
15,0,0,165,205,230,205,226,230,2.145794872,0.236548033,0,15,0.859299775,0.106522562,0.597092564,0.641290511,0.862826985,0.566431937,Miocene,0,0.018351059,0.023868534,0.013886934
16,0,0,241,274,381,274,584,584,2.069636364,0.283938873,0,16,0.877394151,0.164327137,0.570162366,0.640729853,0.859424368,0.562394262,Miocene,0,0.061481125,0.093879144,0.01723944
17,0,0,165,239,267,239,462,462,1.894664634,0.230492598,0,17,0.894011113,0.026816681,0.531038237,0.641246285,0.859588763,0.561392437,Miocene,0,0,0,0
18,0.01,0.28,164,241,202,241,241,241,2.190639785,0.213034966,0,18,0.897201837,0.012146014,0.523809474,0.640958421,0.861197611,0.568366101,Miocene,0,0.040110377,0.011730521,0.023141656
19,0,1.02,129,233,150,233,233,233,2.260477011,0.206031585,0,19,0.830705549,0.019215294,0.588903151,0.644394831,0.867709286,0.568019089,Miocene,0,0.027178773,0.008279293,0.035159016
20,0.31,0,73,167,250,360,500,500,2.403245353,0.248204115,0,20,0.757080302,0.002045445,0.566366784,0.643772531,0.862552665,0.563745372,Miocene,0,0,0,0
21,0,0,109,188,348,188,617,617,2.1757,0.186266392,0,21,NA,NA,NA,0.643645847,0.861186034,0.565977474,Miocene,0,0,0,0
22,0,0.44,136,189,232,193,273,273,2.219996933,0.208477654,0,22,0.819318261,0.044301909,0.633658177,0.643645916,0.859932646,0.565325393,Miocene,0,0.033499258,0.004305315,0.030760981
23,0,0,49,166,90,229,166,229,2.298141058,0.196723349,0,23,0.853958463,0.064140108,0.576797276,0.64453483,0.865172311,0.55939348,Miocene,0,0.03331145,0.037446682,0.047056393
24,0,0,43,148,55,148,148,148,2.240337875,0.266872875,0,24,NA,NA,NA,0.700422925,0.857680694,0.549160245,Oligocene,0,0,0,0
25,0,0,98,154,166,178,332,332,2.19343804,0.164206019,0,25,0.84031544,0.057380006,0.563601389,0.692689856,0.859824504,0.548296699,Oligocene,0,0,0,0
26,0,0,49,123,101,123,187,187,2.323327044,0.142581981,0,26,0.858863146,0.140014303,0.618257649,0.686578377,0.847056856,0.544718902,Oligocene,0,0.023227151,0.028879939,0.017111325
27,0,0,19,116,60,268,117,268,2.442201439,0.184540338,0,27,0.868898595,0.064365481,0.546650802,0.680689155,0.850609835,0.553076638,Oligocene,0,0.007440163,0.061505198,0.032294633
28,0,0,13,120,22,130,120,130,2.429493671,0.195995732,0,28,0.876793856,0.12580279,0.700482221,0.822041222,0.859181456,0.551802965,Oligocene,0,0.089420824,0.017563473,0.018441283
29,0.82,0,111,155,212,155,303,303,2.335211268,0.165920571,0,29,0.844491709,0.10019404,0.648205754,0.822037076,0.865732116,0.56014645,Oligocene,0,0.049136861,0.029543036,0.005483351
30,0,0,88,183,163,183,250,250,2.307804781,0.227668333,6.666666667,30,0.874772893,0.081093617,0.786258624,0.832339667,0.871786669,0.542929051,Oligocene,6.6666667,0,0,0
31,0,0,63,95,104,95,208,208,2.326077966,0.182023016,5.494505495,31,0.845828002,0.17818293,0.6618711,0.826794378,0.869213998,0.549174896,Oligocene,5.3855866,0.024889114,0.011340047,0.006623303
32,0,0.39,80,115,124,115,169,169,2.152177474,0.146989944,NA,32,NA,NA,NA,0.815623013,0.870506153,0.560899008,Oligocene,NA,0,0,0
33,0,0,90,155,164,155,287,287,2.243280757,0.177270087,1.666666667,33,0.833178838,0.070633214,0.646051824,0.6929032,0.875694619,0.561405509,Oligocene,1.5151515,0.027187953,0.054892184,0.031985159
34,0,0.21,130,164,169,164,295,295,2.262466472,0.276051066,8.833922261,34,0.84939145,0.050525556,0.597225298,0.739698241,0.872521156,0.561640325,Eocene,9.9621329,0.018342277,0.020767436,0.009222449
35,0,0,62,97,144,101,252,252,1.415575758,0.152668534,4.081632653,35,0.870456329,0.055252634,0.606982184,0.890468547,0.864437584,0.532348407,Eocene,4.8520924,0.014303487,0.019275091,0.016393273
36,0,0,126,154,179,154,192,192,1.376711538,0.176478887,7.131782946,36,0.851748249,0.112367064,0.591604838,0.729816557,0.870581819,0.561577232,Eocene,7.1972928,0.005902264,0.01927901,0.006906122
37,0,0,143,180,206,185,228,228,1.102743119,0.249094821,14.28571429,37,NA,NA,NA,0.59321388,0.88652889,0.563694241,Eocene,NA,0,0,0
38,0,1,117,180,180,180,189,189,1.176293413,0.19012866,11.11111111,38,0.864644499,0.204906586,0.676468918,0.536915268,0.874127436,0.569315081,Eocene,11.1111111,0,0,0
39,0.23,0,60,87,70,90,99,99,1.220301775,0.115137279,11.36363636,39,0.814190654,0.093586639,0.609159294,0.427243642,0.871205854,0.576593512,Eocene,12.0958647,0.015374029,0.03156493,0.036818146
40,0.49,0,88,141,266,141,532,532,0.995417526,0.141444055,NA,40,NA,NA,NA,0.412067614,0.871434832,0.586295179,Eocene,NA,0,0,0
41,0.55,0,71,110,134,110,129,134,0.726058824,0.265517629,3.703703704,41,0.864033441,0.156974365,0.618923271,0.432227693,0.875228489,0.589227574,Eocene,3.7037037,0,0,0
42,0,0,84,138,140,161,140,161,0.75390991,0.147792763,7.446808511,42,0.855109341,0.098665488,0.530745154,0.39893005,0.883600176,0.589275062,Eocene,7.1091754,0.006012287,0.040667845,0.021686275
43,0,0.33,95,135,129,135,139,139,0.627122222,0.188786118,12,43,0.841352791,0.173054009,0.595704954,0.402978094,0.880803213,0.595379981,Eocene,12.7024358,0.027257928,0.082344914,0.013738754
44,0,0,41,87,135,170,270,270,0.486,0.165390573,13.23529412,44,0.772858778,0.05884335,0.593409192,0.567517196,0.89552366,0.578377968,Eocene,18.7059091,0.009603866,0.037468351,0.039441567
45,0,0,37,91,73,133,91,133,0.697843137,0.122643954,16.12903226,45,0.748404842,0.069998534,0.597435319,0.748211234,0.887376316,0.557436966,Eocene,16.1290323,0,0,0
46,0,0,52,104,60,104,104,104,0.595879032,0.123651595,NA,46,NA,NA,NA,0.813164616,0.878794591,0.555021243,Eocene,NA,0,0,0
47,0,0,63,89,82,89,89,89,0.42803876,0.179985998,22.64150943,47,0.864909347,0.367758463,0.558198636,0.749188294,0.88635352,0.561222008,Eocene,22.6415094,0,0,0
48,0,0.08,77,137,116,137,137,137,-0.019751724,0.172241978,32.0754717,48,0.855222133,0.185299956,0.662292921,0.707575625,0.883671976,0.547488885,Eocene,31.980057,0.010809967,0.054207072,0.002316802
49,0.48,0,142,142,205,148,239,239,-0.148026846,0.15887935,20.75471698,49,0.82143153,0.125260492,0.60029029,0.631565969,0.890589797,0.558898245,Eocene,21.5027475,0.009502977,0.056367613,0.023596588
50,0,0,79,120,116,120,152,152,-0.414836478,0.183562181,21.42857143,50,0.85546853,0.159921678,0.579228513,0.653331883,0.890567843,0.562314891,Eocene,21.4285714,0,0,0
51,0,0,94,117,113,117,142,142,-0.410078947,0.171641866,16.07142857,51,0.836575978,0.155625417,0.575601954,0.64825043,0.89131843,0.560171044,Eocene,15.2272727,0.032127595,0.052902071,0.03640457
52,0.05,0,113,114,152,119,190,190,-0.417006024,0.171797396,22.48062016,52,0.853152543,0.20294123,0.601289619,0.63408967,0.872946329,0.555963324,Eocene,21.6666667,0.013413693,0.077067583,0.029788043
53,0.7,0.26,180,211,230,211,281,281,-0.332125628,0.187108053,38.22629969,53,0.882808936,0.216480942,0.602549638,0.626739114,0.865274324,0.558722275,Eocene,38.2539718,0.006781024,0.041738869,0.002325505
54,0,0,199,202,279,202,377,377,-0.322226131,0.163259365,40,54,0.859024761,0.126584519,0.640950521,0.603387556,0.884730284,0.587105626,Eocene,41.3000848,0.018949448,0.015993466,0.015032923
55,0,0.19,181,181,220,181,233,233,-0.109472826,0.199000094,46.24624625,55,0.889019042,0.16292363,0.64507058,0.670649266,0.884407829,0.555020843,Eocene,46.5356895,0.009823824,0.019475553,0.007867326
56,0,0.61,203,206,297,206,350,350,-0.155460227,0.356439373,44.68599034,56,0.880799292,0.198762005,0.645192384,0.540988584,0.879311075,0.549181357,Paleocene,46.475888,0.010181993,0.018583371,0.005857845
57,0.7,0,107,107,149,107,192,192,0.197095745,0.114091207,50.95541401,57,0.88092403,0.204616076,0.719912687,0.84313896,0.879182936,0.571171406,Paleocene,52.1040956,0.029970924,0.018122845,0.008652205
58,0.13,0.18,123,132,176,132,273,273,0.312187845,0.133721178,52.63157895,58,0.882322262,0.249751691,0.620435583,0.533729485,0.871775594,0.564159861,Paleocene,52.6315789,0,0,0
59,0,0,121,121,156,133,195,195,0.60087234,0.19607815,55.12820513,59,0.867785448,0.2516812,0.587607266,0.491003565,0.878816402,0.560883552,Paleocene,55.0758076,0.014832443,0.041098823,0.002838663
60,0,0,138,140,219,156,267,267,0.719426136,0.141248333,75.75757576,60,0.77423381,0.18476055,0.597565914,0.490992719,0.884072061,0.561502676,Paleocene,75.7575758,0,0,0
61,0,0,129,143,161,156,182,182,0.66244086,0.10673817,66.95652174,61,0.833505846,0.077420419,0.566534447,0.527439419,0.871379765,0.552237941,Paleocene,67.7195027,0.007907047,0.033041814,0.009993058
62,0,0,107,127,218,226,261,261,0.496647059,0.169763825,NA,62,NA,NA,NA,0.527368686,0.880754271,0.554059036,Paleocene,NA,0,0,0
63,0.5,0,142,189,189,189,240,240,0.436208791,0.207060912,94.44444444,63,0.710245946,0.049884583,0.622085116,0.527127088,0.874756639,0.552087784,Paleocene,94.4444444,0,0,0
64,0,0,111,111,136,119,169,169,0.189455782,0.15524961,88.17204301,64,0.726543037,0.044621182,0.575153596,0.54188711,0.869227677,0.555480759,Paleocene,88.3008658,0.0108311,0.019911967,0.040819076
65,1.83,2.42,129,129,205,153,255,255,0.210289855,0.106364557,NA,65,NA,NA,NA,0.186247462,0.886741946,0.551054672,Paleocene,NA,0,0,0
66,0,2.21,138,138,176,139,239,239,0.266720779,0.148148155,NA,66,NA,NA,NA,0.054770007,0.825608802,0.541480803,Paleocene,NA,0,0,0
